donor,neuronal_subtype,condition_source,APLP1_detectable_fraction,condition,subtype_label
AD1,Ex2,APLP1_positive_fraction_AD_AT8neg,0.647492625368732,AD-AT8-,Ex2_CUX2-COL5A2
AD1,Ex2,APLP1_positive_fraction_AD_AT8pos,0.682119205298013,AD-AT8+,Ex2_CUX2-COL5A2
AD2,Ex2,APLP1_positive_fraction_AD_AT8neg,0.34061135371179,AD-AT8-,Ex2_CUX2-COL5A2
AD2,Ex2,APLP1_positive_fraction_AD_AT8pos,0.688073394495413,AD-AT8+,Ex2_CUX2-COL5A2
AD3,Ex2,APLP1_positive_fraction_AD_AT8neg,0.387096774193548,AD-AT8-,Ex2_CUX2-COL5A2
AD3,Ex2,APLP1_positive_fraction_AD_AT8pos,0.43979057591623,AD-AT8+,Ex2_CUX2-COL5A2
AD4,Ex2,APLP1_positive_fraction_AD_AT8neg,0.490196078431373,AD-AT8-,Ex2_CUX2-COL5A2
AD4,Ex2,APLP1_positive_fraction_AD_AT8pos,0.452380952380952,AD-AT8+,Ex2_CUX2-COL5A2
AD5,Ex2,APLP1_positive_fraction_AD_AT8neg,0.612244897959184,AD-AT8-,Ex2_CUX2-COL5A2
AD5,Ex2,APLP1_positive_fraction_AD_AT8pos,0.68,AD-AT8+,Ex2_CUX2-COL5A2
AD6,Ex2,APLP1_positive_fraction_AD_AT8neg,0.549107142857143,AD-AT8-,Ex2_CUX2-COL5A2
AD6,Ex2,APLP1_positive_fraction_AD_AT8pos,0.63573883161512,AD-AT8+,Ex2_CUX2-COL5A2
AD7,Ex2,APLP1_positive_fraction_AD_AT8neg,0.618320610687023,AD-AT8-,Ex2_CUX2-COL5A2
AD7,Ex2,APLP1_positive_fraction_AD_AT8pos,0.767141009055627,AD-AT8+,Ex2_CUX2-COL5A2
AD8,Ex2,APLP1_positive_fraction_AD_AT8neg,0.508974358974359,AD-AT8-,Ex2_CUX2-COL5A2
AD8,Ex2,APLP1_positive_fraction_AD_AT8pos,0.683408071748879,AD-AT8+,Ex2_CUX2-COL5A2
AD1,Ex7,APLP1_positive_fraction_AD_AT8neg,0.683204369594902,AD-AT8-,Ex7_RORB-PCP4
AD1,Ex7,APLP1_positive_fraction_AD_AT8pos,0.791194968553459,AD-AT8+,Ex7_RORB-PCP4
AD2,Ex7,APLP1_positive_fraction_AD_AT8neg,0.507228158390949,AD-AT8-,Ex7_RORB-PCP4
AD2,Ex7,APLP1_positive_fraction_AD_AT8pos,0.646285714285714,AD-AT8+,Ex7_RORB-PCP4
AD3,Ex7,APLP1_positive_fraction_AD_AT8neg,0.533452807646356,AD-AT8-,Ex7_RORB-PCP4
AD3,Ex7,APLP1_positive_fraction_AD_AT8pos,0.616954474097331,AD-AT8+,Ex7_RORB-PCP4
AD4,Ex7,APLP1_positive_fraction_AD_AT8neg,0.592050209205021,AD-AT8-,Ex7_RORB-PCP4
AD4,Ex7,APLP1_positive_fraction_AD_AT8pos,0.544871794871795,AD-AT8+,Ex7_RORB-PCP4
AD5,Ex7,APLP1_positive_fraction_AD_AT8neg,0.68721251149954,AD-AT8-,Ex7_RORB-PCP4
AD5,Ex7,APLP1_positive_fraction_AD_AT8pos,0.814814814814815,AD-AT8+,Ex7_RORB-PCP4
AD6,Ex7,APLP1_positive_fraction_AD_AT8neg,0.668650793650794,AD-AT8-,Ex7_RORB-PCP4
AD6,Ex7,APLP1_positive_fraction_AD_AT8pos,0.659517426273458,AD-AT8+,Ex7_RORB-PCP4
AD7,Ex7,APLP1_positive_fraction_AD_AT8neg,0.682015167930661,AD-AT8-,Ex7_RORB-PCP4
AD7,Ex7,APLP1_positive_fraction_AD_AT8pos,0.752772808586762,AD-AT8+,Ex7_RORB-PCP4
AD8,Ex7,APLP1_positive_fraction_AD_AT8neg,0.503330161750714,AD-AT8-,Ex7_RORB-PCP4
AD8,Ex7,APLP1_positive_fraction_AD_AT8pos,0.678826328310865,AD-AT8+,Ex7_RORB-PCP4
AD1,Ex10,APLP1_positive_fraction_AD_AT8neg,0.720238095238095,AD-AT8-,Ex10_NFIA/THEMIS
AD1,Ex10,APLP1_positive_fraction_AD_AT8pos,0.79734219269103,AD-AT8+,Ex10_NFIA/THEMIS
